Date,Amount,Type,Category,Notes
2025-11-01,12000.00,Fixed,Housing,Rent - monthly
2025-11-01,445.00,Variable,Food & Dining - Coffee,swiggy dinner again
2025-11-02,379.99,Variable,Food & Dining - Coffee,stuff
2025-11-03,45.99,Variable,Food & Dining - Restaurants,chai + sandwich from canteen
2025-11-04,47.95,Variable,Education - Printing,
2025-11-04,197.95,Variable,Entertainment - Parties,cash
2025-11-04,29.99,Variable,Food & Dining - Coffee,midnight snacks
2025-11-05,699.00,Fixed,Housing,Internet bill
2025-11-07,199.00,Fixed,Entertainment,Netflix subscription
2025-11-07,615.95,Variable,Shopping - Accessories,
2025-11-08,185.99,Variable,Personal Care,bought meds
2025-11-09,481.99,Variable,Food & Dining - Groceries,dmart groceries
2025-11-09,99.99,Variable,Transportation - Bus,cab - late night
2025-11-12,48.99,Variable,Food & Dining - Groceries,swiggy dinner again
2025-11-14,182.95,Variable,Food & Dining - Groceries,lunch
2025-11-15,119.00,Fixed,Entertainment,Spotify premium
2025-11-15,78.99,Variable,Food & Dining - Restaurants,weekly grocery
2025-11-16,49.95,Variable,Food & Dining - Restaurants,dmart groceries
2025-11-17,216.99,Variable,Transportation - Bus,cash
2025-11-18,107.00,Variable,Food & Dining - Groceries,mess lunch
2025-11-18,81.99,Variable,Food & Dining - Restaurants,thali at dhaba
2025-11-20,65.50,Variable,Food & Dining - Groceries,dmart groceries
2025-11-22,251.95,Variable,Food & Dining - Groceries,maggi at 2am
2025-11-25,29.95,Variable,Food & Dining - Restaurants,subway before lab
2025-11-25,103.99,Variable,Education - Supplies,exam fee
2025-11-25,83.99,Variable,Food & Dining - Restaurants,
2025-11-25,1881.50,Variable,Transportation - Travel,outing
2025-11-27,32.50,Variable,Transportation - Uber,auto fare
2025-11-29,469.99,Variable,Food & Dining - Restaurants,ate out with batch
2025-11-29,588.99,Variable,Entertainment - Movies,movie snacks
2025-12-01,12000.00,Fixed,Housing,Rent - monthly
2025-12-03,89.99,Variable,Food & Dining - Restaurants,"milk, bread, eggs"
2025-12-03,318.95,Variable,Entertainment - Movies,night out with friends
2025-12-04,1124.50,Variable,Transportation - Travel,cab to airport
2025-12-04,19.50,Variable,Transportation - Auto,cab - late night
2025-12-05,699.00,Fixed,Housing,Internet bill
2025-12-05,125.00,Variable,Food & Dining - Restaurants,weekly grocery
2025-12-05,68.50,Variable,Food & Dining - Restaurants,dmart groceries
2025-12-06,42.95,Variable,Education - Printing,
2025-12-06,209.50,Variable,Food & Dining - Restaurants,idli sambhar from stall
2025-12-06,446.99,Variable,Food & Dining - Restaurants,idli sambhar from stall
2025-12-07,199.00,Fixed,Entertainment,Netflix subscription
2025-12-07,212.99,Variable,Food & Dining - Coffee,grabbed food quickly
2025-12-08,188.00,Variable,Food & Dining - Restaurants,subway before lab
2025-12-09,332.50,Variable,Transportation - Bus,tyre puncture repair
2025-12-10,99.99,Variable,Food & Dining - Groceries,fruuit shop near hostel
2025-12-11,33.00,Variable,Transportation - Bus,rapido
2025-12-12,608.50,Variable,Entertainment - Outings,pool with seniors
2025-12-13,115.00,Variable,Food & Dining - Groceries,grocery run - bigbasket
2025-12-13,647.95,Variable,Education - Books,coursera sub
2025-12-15,119.00,Fixed,Entertainment,Spotify premium
2025-12-15,62.99,Variable,Food & Dining - Groceries,grabbed food quickly
2025-12-18,130.99,Variable,Transportation - Auto,uber to airport
2025-12-18,3140.95,Variable,Transportation - Travel,trip to goa with batch
2025-12-19,133.99,Variable,Food & Dining - Restaurants,maggi at 2am
2025-12-20,84.99,Variable,Transportation - Uber,tyre puncture repair
2025-12-21,61.00,Variable,Food & Dining - Restaurants,grocery run - bigbasket
2025-12-22,3500.00,Variable,Shopping,new keyboard after coffee spill
2025-12-23,58.99,Variable,Transportation - Bus,transport misc
2025-12-26,211.00,Variable,Entertainment - Outings,bowling
2025-12-27,70.50,Variable,Food & Dining - Restaurants,packed dinner from canteen
2025-12-28,480.99,Variable,Entertainment - Outings,entertainment stuff
2025-12-30,50.00,Variable,Entertainment - Outings,bowling
2025-12-31,32.00,Variable,Transportation - Uber,fuel for scooty
2026-01-01,12000.00,Fixed,Housing,Rent - monthly
2026-01-01,86.50,Variable,Food & Dining - Restaurants,breakfast thela
2026-01-02,187.99,Variable,Transportation - Uber,rapido
2026-01-02,120.95,Variable,Food & Dining - Restaurants,midnight snacks
2026-01-03,29.50,Variable,Transportation - Uber,tyre puncture repair
2026-01-04,235.99,Variable,Food & Dining - Restaurants,ate out with batch
2026-01-05,699.00,Fixed,Housing,Internet bill
2026-01-05,146.95,Variable,Transportation - Bus,rapido
2026-01-06,49.99,Variable,Transportation - Fuel,bus fare
2026-01-07,199.00,Fixed,Entertainment,Netflix subscription
2026-01-10,315.95,Variable,Food & Dining - Restaurants,thali at dhaba
2026-01-11,262.99,Variable,Food & Dining - Coffee,coffee
2026-01-11,192.99,Variable,Entertainment - Games,pool with seniors
2026-01-12,148.50,Variable,Personal Care,salon visit
2026-01-12,255.00,Variable,Education - Courses,exam fee
2026-01-13,61.99,Variable,Food & Dining - Restaurants,chai + sandwich from canteen
2026-01-13,76.00,Variable,Personal Care,toothpaste etc
2026-01-14,31.50,Variable,Transportation - Uber,petrol
2026-01-14,20.00,Variable,Education - Printing,research paper printout
2026-01-15,119.00,Fixed,Entertainment,Spotify premium
2026-01-15,121.50,Variable,Food & Dining - Restaurants,idli sambhar from stall
2026-01-16,655.95,Variable,Entertainment - Games,escape room with batchmates
2026-01-16,130.99,Variable,Food & Dining - Coffee,late night pizza w/ roommates
2026-01-18,258.50,Variable,Personal Care,medicine - cold
2026-01-18,196.50,Variable,Food & Dining - Coffee,lunch
2026-01-18,929.99,Variable,Entertainment - Movies,
2026-01-19,60.00,Variable,Food & Dining - Restaurants,
2026-01-19,327.99,Variable,Entertainment - Movies,movie snacks
2026-01-21,193.99,Variable,Food & Dining - Coffee,packed dinner from canteen
2026-01-22,250.00,Variable,Entertainment - Outings,night out with friends
2026-01-23,443.99,Variable,Food & Dining - Groceries,fruuit shop near hostel
2026-01-23,302.99,Variable,Entertainment - Outings,bowling
2026-01-25,98.99,Variable,Food & Dining - Coffee,breakfast thela
2026-01-26,52.99,Variable,Food & Dining - Coffee,swiggy dinner again
2026-01-26,25.95,Variable,Transportation - Fuel,bike servicing
2026-01-28,398.00,Variable,Education - Courses,stationery from crossword
2026-01-28,56.99,Variable,Food & Dining - Restaurants,cafe with study group
2026-01-29,103.00,Variable,Personal Care,
2026-01-29,151.00,Variable,Food & Dining - Restaurants,
2026-01-30,96.99,Variable,Transportation - Fuel,auto fare
2026-01-30,325.99,Variable,Food & Dining - Groceries,mess lunch
2026-01-31,242.99,Variable,Food & Dining - Groceries,dmart groceries
2026-01-31,379.00,Variable,Food & Dining - Restaurants,breakfast thela
2026-02-01,12000.00,Fixed,Housing,Rent - monthly
2026-02-01,43.00,Variable,Food & Dining - Groceries,packed dinner from canteen
2026-02-01,165.99,Variable,Entertainment - Parties,concert tickets
2026-02-02,20.95,Variable,Transportation - Auto,ola to railway station
2026-02-02,32.99,Variable,Food & Dining - Groceries,chai + sandwich from canteen
2026-02-03,54.50,Variable,Food & Dining - Restaurants,"milk, bread, eggs"
2026-02-03,188.95,Variable,Entertainment - Parties,game on steam
2026-02-04,147.99,Variable,Entertainment - Games,drinks at cafe
2026-02-05,699.00,Fixed,Housing,Internet bill
2026-02-05,64.00,Variable,Transportation - Fuel,
2026-02-05,41.95,Variable,Food & Dining - Restaurants,
2026-02-07,199.00,Fixed,Entertainment,Netflix subscription
2026-02-08,34.99,Variable,Transportation - Bus,auto to market
2026-02-08,4200.00,Variable,Transportation,emergency flight home - family
2026-02-09,102.99,Variable,Education - Supplies,books for sem
2026-02-09,64.95,Variable,Food & Dining - Groceries,maggi at 2am
2026-02-10,50.00,Variable,Food & Dining - Restaurants,
2026-02-10,340.99,Variable,Shopping - Electronics,laptop bag
2026-02-10,77.50,Variable,Food & Dining - Restaurants,zomato order - too lazy to cook
2026-02-10,42.50,Variable,Transportation - Auto,bus pass monthly
2026-02-12,117.00,Variable,Food & Dining - Groceries,late night pizza w/ roommates
2026-02-14,488.95,Variable,Food & Dining - Groceries,mess lunch
2026-02-14,719.95,Variable,Entertainment - Movies,party contribution
2026-02-15,119.00,Fixed,Entertainment,Spotify premium
2026-02-15,95.99,Variable,Transportation - Fuel,auto fare
2026-02-16,77.99,Variable,Food & Dining - Groceries,fruuit shop near hostel
2026-02-16,166.00,Variable,Transportation - Auto,rapido to college
2026-02-16,76.99,Variable,Food & Dining - Groceries,lunch
2026-02-17,211.99,Variable,Food & Dining - Groceries,
2026-02-18,85.99,Variable,Food & Dining - Coffee,swiggy dinner again
2026-02-18,139.99,Variable,Food & Dining - Restaurants,weekly grocery
2026-02-19,217.00,Variable,Food & Dining - Groceries,late night pizza w/ roommates
2026-02-20,192.95,Variable,Transportation - Bus,metro card recharge
2026-02-20,393.50,Variable,Entertainment - Games,night out with friends
2026-02-21,494.99,Variable,Food & Dining - Groceries,chai + sandwich from canteen
2026-02-22,1118.50,Variable,Entertainment - Movies,college fest entry
2026-02-22,627.00,Variable,Shopping - Electronics,casual wear
2026-02-22,116.95,Variable,Food & Dining - Coffee,stuff
2026-02-23,257.00,Variable,Entertainment - Movies,bowling
2026-02-25,80.50,Variable,Education - Books,research paper printout
2026-02-26,120.95,Variable,Food & Dining - Restaurants,thali at dhaba
2026-02-27,571.99,Variable,Shopping - Clothes,electronics accessories
2026-03-01,12000.00,Fixed,Housing,Rent - monthly
2026-03-01,99.99,Variable,Entertainment - Outings,
2026-03-01,328.50,Variable,Food & Dining - Restaurants,stuff
2026-03-01,212.50,Variable,Food & Dining - Groceries,
2026-03-04,433.99,Variable,Food & Dining - Coffee,subway before lab
2026-03-05,699.00,Fixed,Housing,Internet bill
2026-03-05,507.50,Variable,Food & Dining - Coffee,idli sambhar from stall
2026-03-05,58.50,Variable,Food & Dining - Coffee,dominos pizza fri night
2026-03-06,150.95,Variable,Food & Dining - Coffee,dmart groceries
2026-03-06,177.50,Variable,Transportation - Bus,cash
2026-03-07,199.00,Fixed,Entertainment,Netflix subscription
2026-03-07,223.95,Variable,Food & Dining - Restaurants,
2026-03-07,669.99,Variable,Entertainment - Outings,cash
2026-03-07,312.95,Variable,Food & Dining - Groceries,coffee
2026-03-08,108.99,Variable,Food & Dining - Restaurants,mess lunch
2026-03-09,722.95,Variable,Shopping - Accessories,stuff from flipkart
2026-03-11,62.95,Variable,Transportation - Uber,petrol
2026-03-15,119.00,Fixed,Entertainment,Spotify premium
2026-03-15,293.95,Variable,Food & Dining - Restaurants,ate out with batch
2026-03-16,110.99,Variable,Food & Dining - Groceries,
2026-03-16,75.95,Variable,Food & Dining - Groceries,
2026-03-18,25.50,Variable,Transportation - Fuel,tyre puncture repair
2026-03-19,143.50,Variable,Food & Dining - Groceries,"milk, bread, eggs"
2026-03-19,161.99,Variable,Education - Courses,lab manual printing
2026-03-21,65.95,Variable,Food & Dining - Restaurants,breakfast thela
2026-03-21,99.99,Variable,Food & Dining - Restaurants,coffee and work
2026-03-21,114.99,Variable,Transportation - Bus,bus fare
2026-03-22,196.00,Variable,Food & Dining - Restaurants,maggi at 2am
2026-03-24,124.99,Variable,Food & Dining - Groceries,packed dinner from canteen
2026-03-24,193.99,Variable,Education - Courses,supplies for lab
2026-03-24,1330.50,Variable,Transportation - Travel,cab to airport
2026-03-25,32.95,Variable,Food & Dining - Groceries,dmart groceries
2026-03-25,83.00,Variable,Personal Care,
2026-03-26,38.95,Variable,Food & Dining - Groceries,midnight snacks
2026-03-26,689.95,Variable,Education - Courses,supplies for lab
2026-03-28,323.50,Variable,Entertainment - Outings,night out with friends
2026-03-28,19.99,Variable,Transportation - Uber,
2026-03-30,89.95,Variable,Transportation - Bus,fuel for scooty
2026-04-01,12000.00,Fixed,Housing,Rent - monthly
2026-04-01,86.99,Variable,Food & Dining - Groceries,subway before lab
2026-04-02,42.95,Variable,Food & Dining - Restaurants,ate out with batch
2026-04-04,594.00,Variable,Entertainment - Outings,entertainment stuff
2026-04-05,699.00,Fixed,Housing,Internet bill
2026-04-07,199.00,Fixed,Entertainment,Netflix subscription
2026-04-07,53.99,Variable,Food & Dining - Coffee,dominos pizza fri night
2026-04-07,184.00,Variable,Food & Dining - Restaurants,fruuit shop near hostel
2026-04-08,413.95,Variable,Education - Printing,project report binding
2026-04-08,258.99,Variable,Food & Dining - Coffee,cafe with study group
2026-04-09,147.99,Variable,Food & Dining - Restaurants,dominos pizza fri night
2026-04-10,60.00,Variable,Education - Supplies,photocopying thesis chapters
2026-04-11,102.00,Variable,Food & Dining - Restaurants,weekly grocery
2026-04-11,146.00,Variable,Transportation - Auto,rapido
2026-04-15,119.00,Fixed,Entertainment,Spotify premium
2026-04-15,216.00,Variable,Education - Printing,stationery from crossword
2026-04-15,58.99,Variable,Food & Dining - Restaurants,late night pizza w/ roommates
2026-04-17,57.50,Variable,Education - Supplies,assignment printout
2026-04-17,172.95,Variable,Transportation - Uber,bus fare
2026-04-17,2200.00,Variable,Education,certification exam fee - AWS cloud
2026-04-18,156.00,Variable,Food & Dining - Restaurants,late night pizza w/ roommates
2026-04-18,498.95,Variable,Entertainment - Games,weekend outing
2026-04-20,23.99,Variable,Transportation - Fuel,bus pass monthly
2026-04-20,81.99,Variable,Food & Dining - Coffee,
2026-04-20,268.99,Variable,Entertainment - Parties,night out with friends
2026-04-22,21.00,Variable,Transportation - Auto,auto to market
2026-04-22,42.50,Variable,Education - Printing,udemy course - ML
2026-04-23,197.50,Variable,Food & Dining - Restaurants,chai + sandwich from canteen
2026-04-24,93.50,Variable,Food & Dining - Restaurants,swiggy dinner again
2026-04-25,117.95,Variable,Food & Dining - Groceries,swiggy dinner again
2026-04-26,233.00,Variable,Food & Dining - Restaurants,thali at dhaba
2026-04-26,377.50,Variable,Food & Dining - Restaurants,zomato order - too lazy to cook
2026-04-27,53.99,Variable,Food & Dining - Groceries,ate out with batch
2026-04-27,113.95,Variable,Transportation - Uber,bus fare
2026-04-28,168.95,Variable,Food & Dining - Restaurants,coffee
2026-04-30,50.50,Variable,Food & Dining - Groceries,
2026-05-01,12000.00,Fixed,Housing,Rent - monthly
2026-05-01,195.99,Variable,Food & Dining - Groceries,grocery run - bigbasket
2026-05-02,453.95,Variable,Food & Dining - Restaurants,mess lunch
2026-05-02,69.99,Variable,Transportation - Uber,shared cab
2026-05-03,63.99,Variable,Food & Dining - Coffee,lunch
2026-05-03,75.50,Variable,Food & Dining - Restaurants,lunch
2026-05-04,161.95,Variable,Education - Printing,udemy course - ML
2026-05-04,108.99,Variable,Food & Dining - Restaurants,thali at dhaba
2026-05-05,699.00,Fixed,Housing,Internet bill
2026-05-05,82.99,Variable,Food & Dining - Groceries,dominos pizza fri night
2026-05-07,199.00,Fixed,Entertainment,Netflix subscription
2026-05-07,242.99,Variable,Food & Dining - Coffee,packed dinner from canteen
2026-05-08,125.50,Variable,Food & Dining - Coffee,grocery run - bigbasket
2026-05-09,177.95,Variable,Food & Dining - Coffee,ate out with batch
2026-05-10,117.50,Variable,Food & Dining - Restaurants,breakfast thela
2026-05-12,247.50,Variable,Shopping - Clothes,formal shirt for interview
2026-05-14,558.99,Variable,Entertainment - Parties,cash
2026-05-14,121.00,Variable,Food & Dining - Restaurants,
2026-05-15,119.00,Fixed,Entertainment,Spotify premium
2026-05-15,320.50,Variable,Food & Dining - Restaurants,
2026-05-16,92.95,Variable,Food & Dining - Restaurants,coffee
2026-05-17,17.95,Variable,Transportation - Uber,uber to airport
2026-05-17,235.99,Variable,Shopping - Clothes,winter jacket
2026-05-18,105.00,Variable,Personal Care,shaving kit
2026-05-18,42.99,Variable,Food & Dining - Restaurants,biryani with friends
2026-05-19,70.50,Variable,Food & Dining - Restaurants,thali at dhaba
2026-05-20,85.99,Variable,Transportation - Fuel,cab - late night
2026-05-20,149.99,Variable,Food & Dining - Groceries,dmart groceries
2026-05-22,119.99,Variable,Food & Dining - Groceries,"milk, bread, eggs"
2026-05-23,270.95,Variable,Food & Dining - Groceries,stuff
2026-05-24,303.95,Variable,Food & Dining - Restaurants,biryani with friends
2026-05-26,43.99,Variable,Food & Dining - Coffee,biryani with friends
2026-05-26,126.99,Variable,Personal Care,bought meds
2026-05-27,19.95,Variable,Transportation - Bus,petrol
2026-05-27,99.95,Variable,Food & Dining - Restaurants,midnight snacks
2026-05-28,1031.00,Variable,Education - Printing,research paper printout
2026-05-28,45.95,Variable,Food & Dining - Restaurants,chai + sandwich from canteen
2026-05-28,160.99,Variable,Entertainment - Movies,bowling
2026-05-29,21.95,Variable,Transportation - Bus,auto fare
2026-05-30,519.00,Variable,Food & Dining - Restaurants,midnight snacks
2026-05-30,478.99,Variable,Food & Dining - Restaurants,ate out with batch
2026-05-31,476.99,Variable,Entertainment - Outings,bowling
2026-06-01,12000.00,Fixed,Housing,Rent - monthly
2026-06-01,130.99,Variable,Transportation - Uber,bus fare
2026-06-01,121.95,Variable,Food & Dining - Restaurants,coffee and work
2026-06-01,113.00,Variable,Food & Dining - Restaurants,grabbed food quickly
2026-06-04,98.95,Variable,Food & Dining - Coffee,"milk, bread, eggs"
2026-06-04,99.99,Variable,Transportation - Bus,auto to market
2026-06-05,699.00,Fixed,Housing,Internet bill
2026-06-05,3100.00,Variable,Personal Care,dental treatment - sudden toothache
2026-06-07,199.00,Fixed,Entertainment,Netflix subscription
2026-06-07,163.95,Variable,Food & Dining - Restaurants,stuff
2026-06-07,1069.99,Variable,Entertainment - Outings,concert tickets
2026-06-08,61.99,Variable,Food & Dining - Restaurants,
2026-06-08,36.95,Variable,Transportation - Uber,rapido
2026-06-08,57.99,Variable,Food & Dining - Restaurants,breakfast thela
2026-06-09,27.99,Variable,Transportation - Uber,metro card recharge
2026-06-09,142.95,Variable,Food & Dining - Coffee,thali at dhaba
2026-06-10,122.99,Variable,Education - Printing,coursera sub
2026-06-10,48.99,Variable,Food & Dining - Coffee,grocery run - bigbasket
2026-06-11,383.95,Variable,Food & Dining - Restaurants,fruuit shop near hostel
2026-06-13,119.99,Variable,Transportation - Uber,cash
2026-06-13,475.99,Variable,Food & Dining - Groceries,stuff
2026-06-14,39.50,Variable,Transportation - Uber,petrol
2026-06-15,119.00,Fixed,Entertainment,Spotify premium
2026-06-17,50.00,Variable,Entertainment - Outings,movie snacks
2026-06-17,113.99,Variable,Food & Dining - Groceries,dmart groceries
2026-06-19,177.99,Variable,Transportation - Uber,petrol
2026-06-22,124.99,Variable,Food & Dining - Coffee,fruuit shop near hostel
2026-06-23,212.50,Variable,Entertainment - Parties,
2026-06-24,107.95,Variable,Transportation - Uber,rapido
2026-06-24,69.99,Variable,Food & Dining - Restaurants,zomato order - too lazy to cook
2026-06-24,298.95,Variable,Shopping - Clothes,saree for cultural event
2026-06-25,145.50,Variable,Food & Dining - Restaurants,zomato order - too lazy to cook
2026-06-25,102.00,Variable,Personal Care,
2026-06-26,124.99,Variable,Food & Dining - Restaurants,idli sambhar from stall
2026-06-26,153.95,Variable,Food & Dining - Restaurants,mess lunch
2026-06-27,226.00,Variable,Food & Dining - Groceries,thali at dhaba
2026-06-28,40.95,Variable,Transportation - Uber,transport misc
2026-06-29,108.99,Variable,Food & Dining - Groceries,fruuit shop near hostel
2026-06-30,22.99,Variable,Transportation - Uber,uber to airport
2026-06-30,98.99,Variable,Food & Dining - Restaurants,lunch
2026-07-01,12000.00,Fixed,Housing,Rent - monthly
2026-07-02,43.95,Variable,Food & Dining - Restaurants,maggi at 2am
2026-07-03,217.99,Variable,Food & Dining - Coffee,lunch
2026-07-03,168.99,Variable,Food & Dining - Restaurants,grocery run - bigbasket
2026-07-03,101.95,Variable,Personal Care,pharmacy run
2026-07-04,532.00,Variable,Entertainment - Outings,
2026-07-05,699.00,Fixed,Housing,Internet bill
2026-07-06,82.99,Variable,Food & Dining - Coffee,
2026-07-07,199.00,Fixed,Entertainment,Netflix subscription
2026-07-07,79.50,Variable,Food & Dining - Groceries,breakfast thela
2026-07-07,73.00,Variable,Personal Care,head & shoulders + soap
2026-07-08,1133.00,Variable,Shopping - Clothes,jeans from max
2026-07-09,71.50,Variable,Entertainment - Parties,gaming session
2026-07-10,82.50,Variable,Food & Dining - Restaurants,grabbed food quickly
2026-07-10,309.00,Variable,Food & Dining - Groceries,idli sambhar from stall
2026-07-12,119.50,Variable,Food & Dining - Groceries,late night pizza w/ roommates
2026-07-13,58.50,Variable,Food & Dining - Restaurants,grocery run - bigbasket
2026-07-13,95.99,Variable,Transportation - Fuel,metro card recharge
2026-07-15,119.00,Fixed,Entertainment,Spotify premium
2026-07-15,51.00,Variable,Transportation - Bus,auto to market
2026-07-17,183.00,Variable,Food & Dining - Coffee,
2026-07-19,358.99,Variable,Food & Dining - Restaurants,maggi at 2am
2026-07-19,136.99,Variable,Entertainment - Parties,party contribution
2026-07-20,124.50,Variable,Transportation - Bus,auto to market
2026-07-22,379.00,Variable,Transportation - Travel,hotel for conference
2026-07-22,33.99,Variable,Food & Dining - Restaurants,packed dinner from canteen
2026-07-23,62.99,Variable,Food & Dining - Groceries,weekly grocery
2026-07-23,81.99,Variable,Personal Care,hygiene stuff
2026-07-24,135.99,Variable,Food & Dining - Restaurants,late night pizza w/ roommates
2026-07-25,600.00,Variable,Food & Dining - Restaurants,
2026-07-26,216.95,Variable,Food & Dining - Restaurants,coffee and work
2026-07-30,427.99,Variable,Entertainment - Games,college fest entry
2026-08-01,12000.00,Fixed,Housing,Rent - monthly
2026-08-03,202.00,Variable,Food & Dining - Coffee,cafe with study group
2026-08-03,196.00,Variable,Food & Dining - Restaurants,dmart groceries
2026-08-05,699.00,Fixed,Housing,Internet bill
2026-08-05,59.99,Variable,Food & Dining - Restaurants,
2026-08-07,199.00,Fixed,Entertainment,Netflix subscription
2026-08-08,290.00,Variable,Transportation - Auto,bus pass monthly
2026-08-08,403.99,Variable,Entertainment - Parties,gaming session
2026-08-10,25.99,Variable,Transportation - Bus,
2026-08-10,153.00,Variable,Education - Books,project report binding
2026-08-10,301.00,Variable,Food & Dining - Restaurants,
2026-08-12,26.00,Variable,Food & Dining - Restaurants,swiggy dinner again
2026-08-13,33.99,Variable,Transportation - Bus,bike servicing
2026-08-14,60.95,Variable,Education - Supplies,highlighters and pens
2026-08-15,119.00,Fixed,Entertainment,Spotify premium
2026-08-15,64.99,Variable,Personal Care,head & shoulders + soap
2026-08-15,41.95,Variable,Education - Courses,stuff
2026-08-15,999.99,Variable,Entertainment - Games,movie snacks
2026-08-16,199.50,Variable,Education - Printing,
2026-08-16,59.99,Variable,Transportation - Bus,bike servicing
2026-08-17,38.50,Variable,Food & Dining - Restaurants,fruuit shop near hostel
2026-08-18,270.00,Variable,Transportation - Bus,rapido to college
2026-08-18,156.99,Variable,Food & Dining - Groceries,
